"case_id","case_title","court_type","jurisdiction","case_year","resolution_date","category_of_case","case_keywords","number_of_evidences","outcome_in_favor_of","outcome_in_court","main_issue"
"348","Tamil Nadu Mosaic Manufacturers ... vs State Of Tamil Nadu And Another","Madras High court ","India ","1995","1995-02-24 00:00:00","Tax","Sales Tax, Works Contract, Taxable Turnover","high","Against Respondent ","Writ appeals and writ petitions dismissed","Whether the provisions of section 3-B of the Tamil Nadu General Sales Tax Act, 1959, regarding the taxation of works contracts, are constitutional and valid."
"349","United Trading Agency vs Additional Commissioner Of Commercial ...","Karnataka High Court","India ","1995","1995-12-13 00:00:00","Tax","Sales Tax, Classification of Goods, Ayurvedic Medicines","low","Against Respondent ","Appeals allowed, Impugned order quashed","Whether Vicco products, like toothpaste, tooth powder, and cream, are to be classified as 'toilet articles' or 'medicinal and pharmaceutical preparations'."
"350","Harsh Gupta And Ors. vs New Delhi Municipal Committee And Ors.","Delhi High Court","India ","1995","1995-04-24 00:00:00","Urban Planning, Land Use","Unauthorized Construction, Delhi Development Authority Act, Delhi Urban Art Commission Act","medium","Respondent ","Writ petition dismissed","Whether the construction of shops by the New Delhi Municipal Committee on a public road was illegal and violated the Delhi Development Authority Act and the Delhi Urban Art Commission Act."
"351","M/S. Dalmia Cement (Bharat) Ltd. vs M/S. Advance Commercial Co. Ltd.","Delhi High Court","India ","1995","1995-01-10 00:00:00","Civil Procedure, Arbitration","Arbitration Proceedings, Award, Enforcement","high","Respondent ","Petition dismissed, Award made a rule of the court","Whether the arbitration proceedings were conducted fairly and whether the award passed by the sole arbitrator should be enforced."
"352","Vineet Enterprises vs State Of Andhra Pradesh","Andhra High Court","India ","1995","1995-09-04 00:00:00","Tax","Sales Tax, Best Judgment Assessment, Suppression of Turnover","medium","Respondent ","Tax revision case dismissed","Whether the best judgment assessment made by the tax authorities was justified in the absence of proper records and accounts maintained by the taxpayer."
"353","Manish Plastics vs Commissioner Of Commercial Taxes In ...","Karnataka High Court","India ","1995","1995-02-24 00:00:00","Tax","Central Sales Tax Act, Exemption, Footwear","low","Against Respondent ","Writ petitions dismissed","Whether the exemption granted to footwear costing less than Rs. 30 per pair under the Karnataka Sales Tax Act is a ""general exemption"" within the meaning of section 8(2-A) of the Central Sales Tax Act."
"354","Government Transport Service, Bombay vs S.L. Mishra And Ors.","Bombay High Court","India ","1995","1995-04-19 00:00:00","Labour Law, Industrial Disputes Act","Overtime Pay, Motor Transport Workers Act","high","Respondent ","Writ Petition dismissed","Whether the provisions of the Motor Transport Workers Act, 1961, are applicable to the drivers employed by the Government Transport Service, Bombay."
"355","Manjunatha Roller Flour Mills Private ... vs Assistant Commissioner Of Commercial ...","Karnataka High Court","India ","1995","1995-07-26 00:00:00","Tax","Sales Tax, Exemption, Retrospective Effect","high","Against Respondent ","Impugned orders quashed","Whether the exemption granted to wheat and wheat products with retrospective effect was valid and enforceable."
"356","Income-Tax Officer vs Dharamchand Surana","Madras High court ","India ","1995","1995-03-10 00:00:00","Criminal Law, Tax Law","Tax Evasion, Falsification of Accounts, Income Tax Act","low","Against Respondent ","Appeal allowed, Accused convicted","Whether the accused was guilty of fabricating false documents to evade income tax."
"357","Nand Kishore Jain vs The Presiding Officer Labour Court, ...","Delhi High Court","India ","1995","1995-03-07 00:00:00","Labour Law, Industrial Disputes Act","Appropriate Government, Reference of Industrial Dispute","medium","Respondent ","Writ petition allowed","Whether the Delhi Administration or the Central Government was the appropriate government to refer the industrial dispute for adjudication."
"358","Gururaja Stores vs Deputy Commissioner Of Commercial ...","Karnataka High Court","India ","1995","1995-12-18 00:00:00","Tax","Sales Tax, Entry Tax, Burden of Proof","low","Respondent ","Appeals allowed, Impugned order quashed","Whether the burden of proof to establish the place of sale and consumption of goods lies with the tax authorities."
"359","Gopal Industries vs Commercial Tax Officer, V. Circle, ...","","India ","1995","1995-11-22 00:00:00","Tax","Sales Tax, Turnover Limit, Exemption","Medium","Against Respondent ","Appeal Dismissed","Whether the exemption granted to handmade washing soap manufacturers with a turnover limit of Rs. 10 lakhs is applicable to the appellant."
"360","Sh Subhas Chand Sharma vs Sh Gaja Ram And Ors","Motor Accident Claims Tribunal","Delhi District Court","2024","2024-11-23 00:00:00","Motor Accident Claim","Accident, Compensation, Negligence","Low","Claimant","Compensation awarded to the claimant","Assessment of compensation for fatal accident"
"361","Mr Ravinder Kumar vs Ms Naini Fincap Ltd","Criminal Appeal","Delhi District Court","2024","2024-11-23 00:00:00","Criminal","Negotiable Instruments Act, Cheque Dishonor","Low","Respondent","Appeal dismissed, conviction upheld","Dishonor of cheque, liability under Section 138 NI Act"
"362","State vs Abhishek Jain","Sessions Court","Delhi District Court","2024","2024-11-23 00:00:00","Criminal","Abetment of Suicide, Dowry Death","Medium","Respondent","Charges under Section 498A/304B/34 IPC not added","Sufficiency of evidence for adding additional charges"
"363","Zones Corporate Solutions Pvt Ltd vs Valiant Trading Pvt Ltd And Ors","Civil Court","Delhi District Court","2024","2024-11-24 00:00:00","Commercial Dispute","Contractual Dispute, Recovery of Dues, Cheque Dishonor","Medium","Plaintiff","Judgment in favor of plaintiff for partial amount","Recovery of dues, liability of directors, proof of documents"
"364","Aviral Parth Singh Thru. Legal Guardian ... vs State Of U.P. Thru. Prin. Secy. Vidhan","High Court","Allahabad High Court","2024","2024-11-25 00:00:00","Habeas Corpus","Child Custody, Family Law","Low","Respondent","Petition Dismissed","Custody of minor child"
"365","JMC Projects (India) Ltd. vs. The ACIT.,(OSD)-I,Range-4,,","Income Tax Appellate Tribunal","Ahmedabad","2024","2024-11-26 00:00:00","Tax Dispute","Income Tax, Deduction, Gross Profit, TDS, Assessment","Medium","Assessee","Mostly in favor of the Assessee","Tax liability, deductions, additions, and assessment validity"
"366","P.S.Subramanian vs The Income Tax Officer","Madras High Court","Tamil Nadu","2024","2024-11-27 00:00:00","Tax","Income Tax, Assessment, Deceased Assessee, Legal Heir, Notice, Appeal","Low","","Pending","Whether the Income Tax Department can assess income on a deceased person and how the legal heir should challenge such assessment."
"367","Unknown vs The Union Of India Through The General ...","Central Administrative Tribunal","Allahabad","2024","2024-11-28 00:00:00","Employment Law","Compassionate Appointment, Government Job, Adoption, Delay","Low","Respondent","Petition Dismissed","Eligibility for compassionate appointment, time limit for application, validity of adoption"
"368","M/S. Penguin Paper Plast Pvt. Ltd vs The Commissioner Of Commercial Taxes","Orissa High Court","Odisha, India","2024","2024-11-29 00:00:00","Tax","Sales Tax, Assessment, Limitation Period, Res Judicata","Low","Respondent","Petition Dismissed","Limitation period for assessment under the Central Sales Tax Act"
"369","Renu Sehtiya vs Punjab National Bank And Others","Punjab-Haryana High Court","India","2011","2011-01-03 00:00:00","Service Law","Pension Rights, Misconduct, Public Funds","Medium","Respondent","Petition Dismissed","Regulations on pension forfeiture for misconduct"
"370","Oil And Natural Gas vs The Petroleum Coal Labour","Madras High Court","India","2011","2011-01-04 00:00:00","Labor Law","Contract Labor, Regularization, Industrial Dispute","High","Petitioner","Writ Dismissed","Regularization of Contract Workers"
"371","The Management Of Bihar Kshetr vs Provincial Gramin Bank Emp.Ass","Patna High Court","India","2011","2011-01-05 00:00:00","Labor Law","Termination, Daily Wage Workers, Merger","Medium","Petitioner","Writ Allowed (Reinstatement)","Termination after Bank Merger"
"372","Prem Kumar Singh & 11 Ors. vs State Of U.P. Thru Prin. Secy.","Allahabad High Court","India","2011","2011-01-04 00:00:00","Constitutional Law, Administrative Law","Reservation in Promotion, Seniority, Public Service","Medium","Petitioners","Petition Allowed (Partially)","Validity of reservation in promotion rules, quantification of backwardness, and impact on seniority"
"373","Food Corporation Of India vs The State Of Haryana And Others","Punjab-Haryana High Court","India","2011","2011-01-05 00:00:00","Tax Law","Sales Tax, Turnover, Exemptions","Medium","State of Haryana","Petition Dismissed","Taxability of various components in the sale of food grains by FCI"
"374","M/S Bharti Airtel Ltd vs The State Of Karnataka","Karnataka High Court","India","2011","2011-01-07 00:00:00","Tax Law, Constitutional Law","Telecommunication Services, Sales Tax, Electromagnetic Waves","High","State of Karnataka","Petition Dismissed","Taxability of telecommunication services involving electromagnetic waves"
"375","Kovalam Hotels Ltd vs State Of Kerala","Kerala High Court","India","2011","2011-01-07 00:00:00","Constitutional Law","Disinvestment, Public Interest, Articles 14, 19, 300A, 301","Medium","Petitioner","Act declared unconstitutional","Validity of the Kovalam Palace (Taking Over By Resumption) Act, 2005"
"376","State Of Kerala vs Hotel Leelaventure Ltd. And 3 Others","High Court","Kerala","2011","2011-01-08 00:00:00","Constitutional Law","property rights, government acquisition, historic preservation","Medium","Respondent","Case dismissed, Act","Validity of the Kovalam Palace (Taking Over by Resumption) Act, 2005"
"377","M/S.Pavis Textiles vs The Director General","High Court","Madras","2011","2011-01-07 00:00:00","Constitutional Law","ESI Act, Regulation 10-B, validity","Low","Respondent","Writ Petitions dismissed","Constitutional validity of Regulation 10-B of the ESI (General) Regulation 1950"
"378","Satyawati Sharma (Dead) By Lrs vs Union Of India & Another","Supreme Court of India","India","2008","2008-11-22 00:00:00","Property Law","Rent Control Act, Eviction, Equality, Bona Fide Need","Medium","Appellant (Satyawati Sharma)","Section 14(1)(e) of the Delhi Rent Control Act struck down partially. Landlords granted right to seek eviction from non-residential premises for bona fide needs.","Discrimination in eviction rights under Rent Control Act"
"379","Venture Global Engineering vs Satyam Computer Services Ltd. & Anr","Supreme Court of India","India","2008","2008-01-10 00:00:00","Corporate Law, International Arbitration","Arbitration and Conciliation Act, 1996, Foreign Award, Public Policy, Jurisdiction","Medium","Appellant (Venture Global Engineering)","Appeal allowed, Set aside the High Court order.","Jurisdiction to challenge a foreign arbitral award in Indian Courts"
"380","Imagic Creative Pvt. Ltd vs Commissioner Of Commercial Taxes & Ors","Supreme Court of India","India","2008","2008-01-09 00:00:00","Tax Law","Service Tax, VAT, Dual Taxation","Medium","Appellant (Imagic Creative Pvt. Ltd.)","Appeal allowed, Impugned judgment set aside.","Whether services for concept design, on which service tax was paid, are also liable to VAT"
"381","Commissioner of Income Tax, Ahmedabad vs Sarabhai Holdings Pvt. Ltd","Supreme Court of India","India","2008","2008-01-10 00:00:00","Tax","Income Tax, Accrual of Interest, Penalty, Advance Tax Estimate","Medium","Partly Respondent","SC upheld High Court's decision on interest accrual and penalty for different assessment years","Taxability of deferred interest income and applicability of penalty for incorrect tax estimate"
"382","Tvl.Src Projects Private Limited vs The Commissioner Of Commercial Taxes","Madras High Court","India","2008","2008-09-08 00:00:00","Tax","Sales Tax, Assessment Order, Natural Justice","Medium","Respondent","HC allowed the appeal, setting aside the lower court's order on the ground of non-exhaustion of alternative remedy","Whether a writ petition is maintainable when an alternative remedy is available"
"383","Assistant Commercial Taxes Officer vs M/S Bajaj Electricals Ltd","Supreme Court of India","India","2008","2008-11-06 00:00:00","Tax","Sales Tax, Penalty, Declaration Form","Medium","Respondent","SC set aside the High Court's judgment and upheld the penalty imposed by the assessing authority",""
"384","M/S. M.M.T.C. Limited vs Commr.Of Commercial Tax & Ors","Supreme Court of India","India","2008","2008-11-03 00:00:00","Tax","Sales Tax, Maintainability of Appeal, Article 226/227","Medium","Respondent","SC held that the Letters Patent Appeal was maintainable and remitted the case back to the High Court for consideration on merits","Maintainability of Letters Patent Appeal against an order passed under Article 227 of the Constitution"
"385","M/S.Supreme Electrical ... vs Commercial Tax Officer (W & Lt)","Kerala High Court","India","2008","2008-08-06 00:00:00","Tax","Sales Tax, Interim Stay, Appellate Authority","Medium","Respondent","HC set aside the order of the first appellate authority granting conditional stay","Propriety of the order granting conditional stay without sufficient reasons"
"386","M/S. Raj Homes Pvt. Ltd. & Ors vs State Of M.P. & Ors","Supreme Court of India","India","2008","2008-08-26 00:00:00","Constitutional Law, Land Law","Land acquisition, premium, Article 14","Medium","State of Madhya Pradesh","Constitutionality of Rule 14 of the Madhya Pradesh Land Revenue Code, 1959, which imposed a premium on agricultural land converted to non-agricultural use.",""
"387","Tdm Infrastructure Private Limited vs Ue Development India Pvt.Ltd","Supreme Court of India","India","2008","2008-05-14 00:00:00","Contract Law, Arbitration Law","International commercial arbitration, Arbitration and Conciliation Act, 1996","Medium","Tdm Infrastructure Private Limited","Dismissed","Jurisdiction of Indian courts to appoint an arbitrator in a dispute between two Indian companies"
"388","M/S Ganpati Rv-Talleres Alegria ... vs Union Of India & Anr","Supreme Court of India","India","2008","2008-12-08 00:00:00","Contract Law, Administrative Law","Tender process, eligibility criteria, joint venture","Medium","M/S Ganpati Rv-Talleres Alegria","Reversed High Court's decision","Whether a joint venture company can meet eligibility criteria based on the experience of its constituent companies"
"389","Sanjay Gupta vs Cottage Industries Exposition Ltd.","Delhi High Court","Delhi","2008","2008-01-14 00:00:00","Contract Law, Property Law","Lease agreement, breach of contract, damages, mesne profits","Medium","Sanjay Gupta","Order in favor of plaintiff","Interpretation of lease agreement, liability for maintenance charges, damages for unauthorized use"
"390","Prem Shankar Gupta And Ors. vs Delhi Development Authority And Anr.","Delhi High Court","Delhi","2008","2008-01-21 00:00:00","Property Law, Administrative Law","License to occupy, hawking, public space","Medium","Delhi Development Authority","Dismissed","Right to occupy public space without a valid license"
"391","Vijay Kumar Gupta, Sanjay Transport ... vs State Of Maharashtra Through The ...","High Court","Maharashtra","2008","2008-03-13 00:00:00","Civil","contract, government, public interest","Medium","Respondent","Contract awarded to M/s. Lirin Roadlines Pvt. Ltd. was quashed.","Arbitrary award of government contract without following proper tender procedures."
"392","Pepsico India Holdings Pvt. Ltd vs State Of Kerala","High Court","Kerala","2008","2008-12-11 00:00:00","Tax","tax exemption, industrial unit, plant and machinery","Medium","Respondent","Writ appeal dismissed","Interpretation of 'necessary plant and machinery' in the context of tax exemption for new industrial units."
"393","Pepsico India Holdings Pvt. Ltd vs State Of Kerala","High Court","Kerala","2008","2008-12-11 00:00:00","Tax Law","Tax Exemption, Industrial Units, Plant and Machinery","Medium","Respondent","Dismissed","Interpretation of 'necessary plant and machinery' in tax exemption notification"
"394","Mr. Mahesh Bhatt And Kasturi And Sons vs Union Of India (Uoi) And Anr.","High Court","Delhi","2008","2008-02-07 00:00:00","Constitutional Law, Media Law","Freedom of Speech, Tobacco Advertising, Censorship","Medium","Petitioner","Partly in favor of the Petitioner","Constitutional validity of provisions in the Cigarette and Other Tobacco Products Act, 2003 and Rules, 2005"
"395","Kishan Gopal Atal & Ors vs Union Of India & Ors","High Court","Rajasthan","2008","2008-09-23 00:00:00","Contract Law, Administrative Law","Government Contracts, Tender Process, Discrimination","Medium","Respondent","Dismissed","Challenge to the terms and conditions of a tender notice for transportation of petroleum products"
"396","Vasu Tech Ltd. vs Ratna Commercial Enterprises Ltd. And ...","High Court","Delhi","2008","2008-04-30 00:00:00","Civil Law, Contract Law","Injunction, Cheque Dishonor, Specific Performance","Medium","Defendant","Partly in favor of the Defendant","Maintainability of the suit, Reliefs sought by the plaintiff"
"397","Anoop Kumar And Others vs State Of Haryana And Others","High Court","Punjab-Haryana","2008","2008-09-03 00:00:00","Land Acquisition","Land Valuation, Market Value, Compensation","Medium","Claimant","Partly in favor of the Claimant","Determination of fair market value of acquired land"
"398","Shikha Birla vs Ambience Developers Pvt Ltd","High Court","Delhi","2008","2008-12-20 00:00:00","Civil, Contract","Specific Performance, Contract Enforcement, Allotment Cancellation, Delayed Payment, Interest","Medium","Plaintiff","Specific performance granted","Enforceability of contract and cancellation of allotment"
"399","Lgw Limited & Another vs The State Of West Bengal & Others","High Court","Calcutta","2008","2008-11-06 00:00:00","Administrative Law, Land Acquisition","Government Allotment, Administrative Delays, Procedural Fairness","Medium","Petitioner","Partly in favor of the Petitioner","Non-allotment of land despite government approval"
"400","Shri Badrinarayan Bansilal Somani vs Shri Vinodkumar K. Shah","High Court","Bombay","2008","2008-09-19 00:00:00","Civil, Contract","Loan Recovery, Interest Rate, Commercial Transaction","Medium","Plaintiff","Partly in favor of the Plaintiff","Rate of interest on the loan amount"
"401","Abhey Ram Dahiya vs State Of Haryana And Others","High Court","Punjab-Haryana","2008","2008-12-09 00:00:00","Land Acquisition, Administrative Law","Oustees Policy, Allotment of Land, Government Policy","Medium","Petitioner","Partly in favor of the Petitioner","Interpretation of oustees policy and eligibility for allotment of land"
"402","Satish Raheja vs Prakashwati Gupta","High Court","Delhi","2008","2008-01-22 00:00:00","Civil, Rent Control","Eviction, Bona Fide Requirement, Residential Use","Medium","Respondent","Dismissed","Bona fide requirement of the tenant for residential purposes"
"403","Glaxosmithkline Consumer Healthcare ... vs Abbott Healthcare Pvt. Ltd. & Others","High Court","Calcutta","2008","2008-07-31 00:00:00","Intellectual Property, Trademark","Passing Off, Trademark Infringement, Advertising","Medium","Plaintiff","Interim Injunction Granted","Similarity of slogans and potential for consumer confusion"
"404","M/S. Indus Towers Limited vs Commercial Tax Inspector","High Court","Kerala","2008","2008-01-10 00:00:00","Tax Law, Customs Law","Job Work, Tax Liability, Import-Export","Medium","Respondent","Dismissed","Tax liability on goods brought for reconditioning and then sent back"
"405","Hawkins Cookers Limited vs Murugan Enterprises","High Court","Delhi","2008","2008-01-04 00:00:00","Intellectual Property, Trademark","Trademark Infringement, Passing Off, Trademark Use","Medium","Defendant","Dismissed","Trademark infringement and passing off claims against the defendant"
"406","Sudhir S.Mehta & Ors vs Custodian & Anr","Supreme Court","India","2008","2008-05-16 00:00:00","Financial Law, Corporate Law","Share Sale, Custodian, Disposal Committee, Market Conditions","High","Respondent","Dismissed","Validity of the sale of shares by the Custodian"
"407","Asst. Commnr. Of Commercial Taxes & Ors vs Ruchi Soya Industries Ltd","Supreme Court","India","2008","2008-04-24 00:00:00","Tax Law, Administrative Law","Seizure of Records, Procedural Fairness, Natural Justice","Medium","Respondent","Dismissed","Validity of the order granting sanction to retain seized records"
"408","Commissioner Of Income ... vs Joseph Valakuzhy","Supreme Court","India","2008","2008-05-06 00:00:00","Tax Law, Income Tax","Amortization Expenses, Film Production, Tax Deductions","Medium","Respondent","Dismissed","Applicability of Section 80 and Rule 9A of Income Tax Rules to amortization expenses of film production"
"409","Indian Dairy Machinery Co. Ltd vs Assistant Commissioner Of Commercial ...","Supreme Court","India","2008","2008-01-22 00:00:00","Tax Law, Sales Tax","Sale of Goods, Inter-State Transactions, Tax Liability","Medium","Respondent","Dismissed","Applicability of sales tax on inter-state transactions within a corporate group"
"410","M/S Malnad Areca Processing & Marketing ... vs The Dy. Commissioner Of Commercial ...","Supreme Court","India","2008","2008-03-28 00:00:00","Tax Law, Sales Tax","Tax Exemptions, Government Notification, Industrial Policy","Medium","Pending","","Eligibility of an areca nut processing company for tax exemption on purchases and sales under a government notification"
"411","Hindustan Organic Chemicals Ltd vs Hindustan Organic Chemicals Ltd","Bombay High Court","India","2008","2008-10-10 00:00:00","Labor Law, Industrial Law","Appropriate Government, Government Company, Industrial Dispute","Medium","Petitioner","Order in favor of the Petitioner","Determination of the appropriate government for the company"
"412","S.B.T vs The Commercial Tax Officer","Kerala High Court","India","2008","2008-01-08 00:00:00","Tax Law, Sales Tax","Sale of Goods, Pledge, Tax Liability","Medium","Respondent","Dismissed","Taxability of the sale of pledged gold ornaments by a bank"
"413","Orissa Power Generation Corporation ... vs Commissioner, Commercial Taxes And ...","Orissa High Court","India","2008","2008-02-14 00:00:00","Tax Law, Central Sales Tax","Tax Exemption, Power Generation, Machinery and Equipment","High","Petitioner (Partially)","Partial Relief Granted","Eligibility for concessional tax rates under Section 8(3)(b) of the Central Sales Tax Act, 1956, for goods used in power generation and distribution"
"414","M/S. Sujana Universal Industries Ltd vs The Deputy Commercial Tax Officer","Madras High Court","Tamil Nadu, India","2008","2008-06-26 00:00:00","Tax Law","Tax Assessment, Second Sales Exemption, Alternate Remedy","Medium","Respondent","Writ Petition Dismissed","Non-exhaustion of statutory remedies"
"415","Master Abhishek Mehra & Ors vs DLF Commercial Developers Ltd.","Delhi High Court","Delhi, India","2008","2008-09-19 00:00:00","Civil Law, Arbitration","Arbitration Agreement, Jurisdiction of Arbitral Tribunal","Medium","Defendant","Plaint rejected","Whether the dispute was subject to arbitration and whether the civil suit was barred"
"416","M/S.MSPL Gases Limited vs M/S.Steel Authority Of India Limited","Madras High Court","Tamil Nadu, India","2008","2008-07-31 00:00:00","Administrative Law, Contract Law","Public Procurement, Tender Process, Judicial Review","High","Respondent","Writ Petitions Dismissed","Validity of the re-tendering process initiated by SAIL"
"417","Sachin J. Joshi And Anr. vs Lieutenant Governor And Anr.","Delhi High Court","Delhi, India","2008","2008-04-08 00:00:00","Contract Law, Land Use Law","Amalgamation of plots, Nazul Rules, Lease conditions","Medium","Respondent","Writ Petition Dismissed","Whether the petitioners could amalgamate two hotel plots purchased at an auction despite a clause prohibiting amalgamation."
"418","Heinz India Private Limited vs The Commissioner Of Commercial Taxes","Madras High Court","Tamil Nadu, India","2008","2008-11-05 00:00:00","Tax Law","Milk Products, VAT, Classification of Goods","Medium","Respondent","Writ petitions disposed off. W.P.No.17013/2008 dismissed, W.P.No.17012/2008 disposed with directions.","Whether the product 'COMPLAN' manufactured by Heinz India Private Limited is a milk product attracting 4% VAT or not."
"419","M/S. Surya Constructions vs Commercial Tax Officer (Wc & Lt)","Kerala High Court","Kerala, India","2008","2008-12-31 00:00:00","Tax Law","Subcontractor, Works Contract, Profit, VAT, Kerala Value Added Tax Act","High","Petitioner","Writ petition allowed. Ext.P5 and Ext.P8 quashed to the extent they demand tax on Rs. 45,92,762.90. Respondents directed to refund the tax amount.","Whether the petitioner (main contractor) who sub-contracted the entire work is liable to pay VAT on the profit earned from the contract."
"420","Mrs. Oluwole Mutiat vs Union Of India (Uoi) Through Narcotic ...","Bombay High Court","Maharashtra, India","2008","2008-06-10 00:00:00","Criminal Law (Narcotics)","NDPS Act, Heroin, Possession, Commercial Quantity, Sentence","Medium","Partly in Favor of Appellant","Conviction under Section 8(c) punishable under Section 21(c) set aside. Convicted under Section 8(c) punishable under Section 21(b) with reduced sentence (5 years 4 months RI and fine Rs. 10,000).","Whether the quantity of heroin (114.6 gms) found with the appellant falls under commercial quantity attracting harsher punishment under the NDPS Act."
"421","The Kalupur Commercial Co-Operative ... vs O.L. Of Navrang Synthfab Pvt. Ltd. And 2 ...","Gujarat High Court","Gujarat, India","2008","2008-02-20 00:00:00","Corporate Law, Civil Procedure","Liquidation, Power of Attorney, Security Interest","Medium","Respondent","Application Disposed","Validity of power of attorney executed by a company in liquidation"
"422","Bangalore Club K M Cariappa Road vs The Asst Commissioner Of Commercial Taxes ...","Karnataka High Court","Karnataka, India","2008","2008-12-01 00:00:00","Tax Law","Karnataka Tax on Luxuries Act, Club, Hotel, Retrospective Taxation, Luxury Tax","High","Appellant (Bangalore Club)","Amendment to definition of Hotel under Karnataka Tax on Luxuries Act, including Clubs and retrospective application, declared unconstitutional.","Whether the amendment to the definition of Hotel under the Karnataka Tax on Luxuries Act, including Clubs and applying retrospectively, is valid."
"423","Satish Kumar Gupta (Dr.) Etc. vs State Of Haryana And Ors.","Punjab-Haryana High Court","Haryana, India","2008","2008-04-04 00:00:00","Constitutional Law, Administrative Law","Nursing Homes, Commercial Establishments, Taxation","Medium","Respondent (State of Haryana)","Petition dismissed","Whether Nursing Homes are commercial establishments under the Punjab Shops and Commercial Establishment Act, 1958."
"424","Tvl.Veppalodai Salt Corporation vs Commissioner Of Commercial Taxes","Madras High Court","Tamil Nadu, India","2008","2008-03-12 00:00:00","Tax Law","Central Sales Tax Act, Sales Tax, Common Salt, Freight Charges, Opportunity of Hearing","Medium","Petitioner","Orders of assessment set aside, case remanded for personal hearing of petitioner.","Whether the petitioner should be levied tax on freight charges for sales of common salt under the Central Sales Tax Act."
"425","Sahara India Commercial Corporation ... vs The National Capital Territory Of Delhi ...","Delhi High Court","Delhi, India","2008","2008-08-20 00:00:00","Criminal Law","FIR, Quashing, Compromise","Medium","Petitioner","FIR quashed","Whether the FIR should be quashed due to a compromise between the parties."
"426","Shamim Ahmed Siddique vs Society Ltd. And Ors., Kalyandas Udyog ...","Bombay High Court","Maharashtra, India","2008","2008-02-11 00:00:00","Industrial Law","Industrial Disputes Act, Industry, Workman, Cooperative Society, Commercial Activities","High","Respondent Society","Both Petitions Dismissed","Whether the Respondent Society is an Industry and the Complainant is a Workman under the Industrial Disputes Act."
"427","M/S Raja Charity Trust vs The Additional Commr Of Commercial Taxes","Karnataka High Court","Karnataka, India","2008","2008-07-17 00:00:00","Tax Law","Karnataka Sales Tax Act, Concession, Panchayath, Gram Panchayat, Taluk Panchayat, Interpretation of Statute","High","The Additional Commr Of Commercial Taxes","Appeal Dismissed","Whether the concessional tax rate granted to Zilla Panchayat by the government can be extended to Grama Panchayat and Taluk Panchayat under the Karnataka Sales Tax Act."
"428","Commissioner Of Commercial Tax vs M/S Associated Dyes & Stuff Co","Patna High Court","Bihar, India","2008","2008-08-28 00:00:00","Tax Law","Sales Tax, Maize Powder, Maize Starch, Classification of Goods","Medium","Commissioner of Commercial Taxes","Maize powder and maize starch are different commodities, and maize starch falls under the category of kirana goods.","Whether maize powder and maize starch are the same commodity and should be taxed at the same rate."
"429","M/S Fosroc Chemicals (India) Pvt Ltd vs The Deputy Commissioner Of Commercial ...","Karnataka High Court","Karnataka, India","2008","2008-04-09 00:00:00","Tax Law","Karnataka Sales Tax Act, Assessment Order, Stay Order","Medium","","Stay order granted, appeal pending","Whether the impugned assessment order is valid and whether the petitioner is liable to pay the demanded tax amount."
"430","& 8 Others vs The State Of Maharashtra","Bombay High Court","Maharashtra, India","2008","2008-09-30 00:00:00","Land Law, Constitutional Law","Nazul Land, Lease, Transfer of Land, Unearned Income, Government Grants Act","High","State of Maharashtra","The government has the authority to levy unearned income for regulating land transfers.","Whether the government can levy unearned income on the transfer of land held under a lease agreement."
"431","Siemons Pub.Commun.Netwroks P.Ld.& ... vs Union Of India & Ors","Supreme Court of India","India","2008","2008-11-06 00:00:00","Contract Law, Administrative Law","Tender Process, Public Procurement, Judicial Review","High","Union of India","Appeal dismissed","Whether the appellant was the lowest bidder and entitled to the contract."
"432","K.R.Suryanarayana vs The A.P.Comml. Taxes Non-Gazetted ...","Supreme Court of India","India","2008","2008-02-04 00:00:00","Civil Law, Society Law","Society Registration Act, Association, Legal Representation","High","K.R.Suryanarayana","Appeal allowed, interim order granted","Whether the appellant was entitled to represent the association and whether the impugned order of the High Court was correct."
"433","Jammu & Kashmir High Court","Jammu & Kashmir","","2008","2008-08-12 00:00:00","Electricity Law","Tariff determination, Transparency, Reasonableness","Medium","Respondent (JERC)","Tariff order upheld","Challenge to electricity tariff hike by JERC"
"434","Kerala High Court","Kerala","","2008","2008-01-08 00:00:00","Tax Law","Sale of Goods Act, Banking Regulation Act, Sales Tax","Medium","Respondent (State)","Petition dismissed","Whether sale of pledged gold by a bank is subject to sales tax"
"435","Madras High Court","Tamil Nadu","","2008","2008-09-02 00:00:00","Tax Law","Tamil Nadu General Sales Tax Act, Tamil Nadu Taxation Special Tribunal Act","Low","Dismissed","Petition for review dismissed","Jurisdiction of High Court for tax revisions after repeal of Special Tribunal Act"
"436","Ultra Tech Cement Limited vs The Secretary To Government","High Court","Madras (India)","2008","2008-03-07 00:00:00","Taxation, Industrial Incentives, VAT","Sales tax waiver, VAT, Eligibility Certificate, Deed of Agreement, G.O.Ms.No.500, G.O.Ms.No.43, SIPCOT","High","Respondent (Government)","Writ Petition dismissed","Whether the petitioner (Ultra Tech Cement) was entitled to continue under the Sales Tax waiver scheme after the introduction of VAT, and whether the demand for tax by the Deputy Commercial Tax Officer was valid."
